v1,v2,v3,v4,v5,v6,v7
0.135,0.105,0.150,0.385,0.135,0.105,0.110
0.030,0.035,0.095,0.195,0.010,0.010,0.005
0.050,0.020,0.105,0.255,0.020,0.000,0.000
0.020,0.020,0.130,0.215,0.000,0.005,0.000
0.100,0.120,0.245,0.290,0.140,0.200,0.105
0.020,0.050,0.095,0.395,0.010,0.060,0.000
0.015,0.010,0.070,0.145,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.090,0.035,0.135,0.805,0.020,0.125,0.010
0.050,0.025,0.175,0.240,0.020,0.010,0.005
0.095,0.080,0.110,0.360,0.030,0.015,0.015
0.145,0.105,0.170,0.425,0.140,0.105,0.085
0.105,0.120,0.115,0.360,0.125,0.110,0.100
0.005,0.010,0.030,0.180,0.010,0.005,0.005
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.180,0.150,0.145,0.380,0.150,0.120,0.100
0.110,0.100,0.125,0.260,0.140,0.105,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.030,0.005,0.085,0.275,0.000,0.000,0.000
0.020,0.030,0.110,0.295,0.025,0.000,0.000
0.030,0.035,0.110,0.340,0.015,0.005,0.000
0.055,0.005,0.085,0.350,0.000,0.000,0.010
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.100,0.105,0.150,0.230,0.140,0.110,0.110
0.020,0.095,0.040,0.410,0.010,0.025,0.000
0.105,0.090,0.185,0.290,0.155,0.105,0.110
0.025,0.010,0.080,0.180,0.000,0.000,0.000
0.005,0.010,0.040,0.185,0.015,0.005,0.000
0.080,0.020,0.120,0.305,0.040,0.020,0.010
0.060,0.020,0.070,0.265,0.010,0.000,0.000
0.025,0.015,0.095,0.270,0.005,0.000,0.000
0.115,0.115,0.130,0.300,0.125,0.105,0.105
0.020,0.170,0.085,0.435,0.005,0.060,0.010
0.030,0.015,0.100,0.200,0.010,0.010,0.000
0.025,0.005,0.050,0.230,0.010,0.000,0.000
0.045,0.015,0.080,0.195,0.005,0.000,0.010
0.020,0.040,0.065,0.150,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.010,0.000,0.045,0.235,0.015,0.000,0.000
0.015,0.010,0.070,0.145,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.035,0.010,0.095,0.205,0.005,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.025,0.000,0.090,0.135,0.000,0.000,0.000
0.015,0.015,0.085,0.145,0.000,0.000,0.005
0.025,0.015,0.065,0.290,0.000,0.020,0.005
0.030,0.015,0.080,0.270,0.000,0.000,0.000
0.010,0.020,0.135,0.285,0.000,0.000,0.000
0.025,0.015,0.060,0.295,0.020,0.000,0.000
0.060,0.030,0.070,0.240,0.035,0.005,0.000
0.135,0.115,0.240,0.495,0.145,0.115,0.105
0.100,0.120,0.165,0.575,0.120,0.105,0.110
0.105,0.095,0.130,0.320,0.140,0.100,0.095
0.105,0.120,0.090,0.375,0.125,0.100,0.100
0.010,0.000,0.110,0.260,0.010,0.010,0.000
0.040,0.015,0.085,0.230,0.005,0.020,0.015
0.025,0.005,0.045,0.215,0.005,0.000,0.000
0.110,0.110,0.110,0.275,0.140,0.110,0.105
0.020,0.010,0.090,0.220,0.005,0.010,0.000
0.015,0.025,0.125,0.235,0.000,0.000,0.000
0.185,0.140,0.470,0.555,0.150,0.230,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.090,0.125,0.110,0.235,0.120,0.100,0.115
0.115,0.120,0.115,0.255,0.125,0.105,0.100
0.115,0.120,0.215,0.215,0.140,0.095,0.105
0.115,0.105,0.125,0.260,0.115,0.110,0.115
0.005,0.035,0.045,0.145,0.000,0.000,0.000
0.080,0.015,0.155,0.290,0.015,0.005,0.005
0.025,0.010,0.065,0.265,0.005,0.000,0.005
0.035,0.000,0.065,0.170,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.100,0.005,0.105,0.180,0.000,0.000,0.025
0.030,0.030,0.130,0.265,0.015,0.015,0.000
0.135,0.100,0.155,0.400,0.135,0.105,0.090
0.030,0.070,0.140,0.300,0.015,0.000,0.000
0.045,0.015,0.180,0.230,0.000,0.000,0.000
