v1,v2,v3,v4,v5,v6,v7
0.095,0.135,0.795,0.030,0.005,0.090,0.015,0.055,0.005
0.090,0.070,0.055,0.025,0.810,0.020,0.090,0.095,0.020
0.190,0.080,0.980,0.000,0.000,0.015,0.020,0.025,0.045
0.155,0.200,1.000,0.000,0.010,0.060,0.030,0.030,0.005
0.100,0.095,0.695,0.025,0.005,0.025,0.055,0.025,0.000
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.045,0.070,0.020,0.015,0.000,0.005,0.340,0.135,0.000
0.015,0.045,0.010,0.020,0.000,0.000,0.260,0.175,0.000
0.045,0.075,0.030,0.030,0.000,0.000,0.345,0.070,0.010
0.235,0.145,0.185,0.830,0.195,0.000,0.035,0.065,0.120
