v1,v2,v3,v4,v5,v6,v7
0.000,0.000,0.795,0.000,0.000,0.000,0.000
0.005,0.075,0.025,0.470,0.010,0.035,0.000
0.000,0.000,0.905,0.000,0.000,0.000,0.000
0.015,0.000,0.035,0.325,0.005,0.000,0.000
0.000,0.000,0.920,0.000,0.000,0.000,0.005
0.005,0.040,0.050,0.460,0.000,0.030,0.000
0.000,0.055,0.025,0.445,0.005,0.025,0.005
0.035,0.040,0.025,0.505,0.010,0.015,0.010
0.020,0.000,0.035,0.350,0.005,0.000,0.000
0.050,0.070,0.875,0.100,0.115,0.100,0.110
0.000,0.000,0.800,0.000,0.000,0.000,0.000
0.020,0.000,0.030,0.360,0.010,0.000,0.000
0.015,0.000,0.040,0.350,0.010,0.005,0.000
0.000,0.000,0.855,0.005,0.000,0.000,0.000
0.005,0.015,0.015,0.325,0.000,0.015,0.000
0.000,0.000,0.795,0.000,0.000,0.000,0.000
0.005,0.000,0.975,0.000,0.000,0.000,0.000
0.000,0.000,0.855,0.010,0.000,0.000,0.005
0.015,0.005,0.015,0.420,0.000,0.010,0.000
0.005,0.005,0.020,0.210,0.005,0.000,0.000
0.000,0.000,0.945,0.000,0.000,0.000,0.000
0.005,0.030,0.025,0.430,0.000,0.040,0.005
0.010,0.010,0.045,0.280,0.000,0.010,0.000
0.000,0.000,0.865,0.000,0.000,0.000,0.000
0.010,0.025,0.025,0.425,0.000,0.030,0.005
0.000,0.035,0.015,0.515,0.000,0.000,0.000
0.010,0.010,0.035,0.280,0.005,0.000,0.000
0.000,0.000,0.875,0.000,0.000,0.000,0.000
0.025,0.000,0.515,0.000,0.000,0.000,0.015
0.015,0.000,0.035,0.355,0.005,0.005,0.000
0.000,0.000,0.680,0.000,0.000,0.000,0.000
0.000,0.000,0.880,0.000,0.000,0.000,0.000
0.000,0.035,0.050,0.510,0.000,0.025,0.000
0.000,0.000,0.790,0.000,0.000,0.000,0.000
0.000,0.000,0.810,0.000,0.005,0.000,0.000
0.015,0.005,0.020,0.235,0.000,0.000,0.000
0.000,0.000,0.890,0.005,0.000,0.000,0.000
0.010,0.010,0.035,0.255,0.000,0.000,0.000
0.005,0.030,0.055,0.455,0.000,0.025,0.005
0.000,0.020,0.015,0.400,0.005,0.020,0.005
0.020,0.000,0.040,0.330,0.005,0.000,0.000
0.030,0.110,0.025,0.555,0.000,0.030,0.000
0.000,0.000,0.895,0.005,0.000,0.000,0.000
0.015,0.010,0.025,0.435,0.005,0.000,0.000
0.105,0.130,0.090,0.475,0.130,0.110,0.090
0.030,0.090,0.025,0.510,0.000,0.025,0.000
0.040,0.000,0.860,0.000,0.000,0.000,0.025
0.000,0.000,0.895,0.000,0.000,0.000,0.000
0.000,0.025,0.010,0.505,0.000,0.005,0.000
